CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,Muscle,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,ANALFIN,CYST.UNKN.CAUDALFIN,CYST.UNK.DORSALFIN,GONAD,LIVER,KIDNEY,TREM.DIPS.EYE,HEART,STOMACH,NEMA.L.CONNECTIVE_TISSUE,NEMA.STY.INTESTINE,NEM.LARV.INTESTINE,CEST.BOTSP.INTESTINE,MONO.SALSP.GILL,MONO.SS.GILLS,MYXO.G.GILL,MONO.UNK.GILL,CYST.UNK.GILL,MYXO.MXYID.GALLBLADDER(PRESENCE1_ABSENCE0),CRUS.LERSP.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1 Box Number,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2 Box Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3 Box Number,P3_Label:fishID,P3_label:Parasites_Code,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4 Box_number,P4_Label:fishID,P4_label:Parasites_Code,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5 Box Number,P5_Label:fishID,P5_label:Parasites_Code,P5 Notes
MSB:Fish:1086,MSB 1086-5,Gambusia affinis,1939,4,22,JAR8792F,JG,07-07-2025,07-07-2025,46,35,1207,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,MSB 1086-5,Gambusia affinis,JAR8792F,Salsuginus sp.,1,GC,GC,Adult,Gill,70% etoh,P6L6C,5,MSB 1086-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-2,Gambusia affinis,1959,2,24,JAR8796F,JG,07-07-2025,07-07-2025,31,23,295,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,MSB 307-2,Gambusia affinis,JAR8796F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L3B,5,MSB 307-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-3,Gambusia affinis,1959,2,24,JAR8795F,BP,07-07-2025,07-07-2025,31,25,277,KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,,MSB 307-3,Gambusia affinis,JAR8795F,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L3A,5,MSB 307-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-2,Gambusia affinis,1987,9,9,JAR8804F,EO,07-07-2025,07-07-2025,41,34,755,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,MSB 5811-2,Gambusia affinis,JAR8804F,Salsuginus sp.,4,GC,GC,Adult,Gill,70% etoh,P6L6A,5,MSB 5811-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-3,Gambusia affinis,1993,8,4,JAR8800F,BP,07-07-2025,07-07-2025,34,26,421,BP GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-5,Gambusia affinis,1993,8,4,JAR8798F,EO,07-07-2025,07-07-2025,32,25,353,JG,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1086,MSB 1086-3,Gambusia affinis,1939,4,22,JAR8902F,BP,07-07-2025,07-07-2025,42,35,1023,KL,NA,Arthropod,,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYST.UNK.CAUDALFIN destroyed when trying to remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-1,Gambusia affinis,1987,9,9,JAR8803F,BP,07-07-2025,07-07-2025,39,31,706,EO GC,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,MSB 5811-1,Gambusia affinis,JAR8803F,Salsuginus sp.,3,EO,EO,Adult,Gill,70% etoh,P6L4T,5,MSB 5811-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-1,Gambusia affinis,1993,8,4,JAR8802F,BP,07-07-2025,07-07-2025,31,24,355,GC,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4750,MSB 4750-1,Gambusia affinis,1978,9,29,JAR8811F,BP,07-07-2025,07-07-2025,40,32,703,JG GC,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4750,MSB 4750-4,Gambusia affinis,1978,9,29,JAR8813F,BP,07-07-2025,07-07-2025,39,31,703,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,NA,0,,MSB 4750-4,Gambusia affinis,JAR8813F,Salsuginus sp.,8,KL,KL,Adult,Gill,70% etoh,P6L3E,5,MSB 4750-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-4,Gambusia affinis,1987,9,9,JAR8806F,EO,07-07-2025,07-07-2025,34,27,481,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,,MSB 5811-4,Gambusia affinis,JAR8806F,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L3D,5,MSB 5811-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-4,Gambusia affinis,1993,8,4,JAR8799F,EO,07-07-2025,07-07-2025,34,27,460,BP,F,NA,,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYST.UNK.CAUDALFIN destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-2,Gambusia affinis,1939,5,13,JAR8815F,EO,07-07-2025,07-07-2025,41,33,887,GC,F,NA,,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 1098-2,Gambusia affinis,JAR8815F,Salsuginus sp.,1,GC,GC,Adult,Gill,70% etoh,P6L68,5,MSB 1098-2,MONO.SALSP.GILL,,Unknown,3,GC,GC,Unknown,Caudal Fin,70% etoh,P6L67,5,MSB 1098-2,CYST.UNKN.CAUDALFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-4,Gambusia affinis,1939,5,13,JAR8819F,EO,07-07-2025,07-07-2025,32,25,352,KL,F,NA,,0,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 1098-4,Gambusia affinis,JAR8819F,Unknown cyst,5,KL,KL,Unknown,Caudal fin,70% etoh,P6L3G,5,MSB 1098-4,CYST.UNKN.CAUDALFIN,,Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L3H,5,MSB 1098-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-3,Gambusia affinis,1987,9,9,JAR8805F,BP,07-07-2025,07-07-2025,35,27,556,JG KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,cyst lost,MSB 5811-3,Gambusia affinis,JAR8805F,Salsuginus sp.,5,JG,JG,Adult,Gill,70% etoh,P6L3F,5,MSB 5811-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-2,Gambusia affinis,1993,8,4,JAR8801F,EO,07-07-2025,07-07-2025,35,27,481,BP KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,cyst destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-3,Gambusia affinis,1939,2,26,JAR8823F,JG,07-08-2025,07-08-2025,33,25,326,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,NA,0,,MSB 1100-3,Gambusia affinis,JAR8823F,Unknown cyst,5,KL,KL,NA,Gill,70% etoh,P6L5Q,5,MSB 1100-3,CYST.UNK.GILL,,Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L5R,5,MSB 1100-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-3,Gambusia affinis,1939,5,13,JAR8817F,EO,07-07-2025,07-08-2025,30,24,257,KL,NA,"Arthropod, nematode",,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,MSB 1098-3,Gambusia affinis,JAR8817F,Free living nematode,1,KL,KL,Adult,Intestine,70% etoh,P6L5O,5,MSB 1098-3,NEMA.STY.INTESTINE,"Pictured, not a parasite of fish",Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L5P,5,MSB 1098-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:280,MSB 280-1,Gambusia affinis,1949,10,28,JAR8833F,BP,07-08-2025,07-08-2025,33,26,379,BP,NA,NA,Patterned cysts on caudal fin,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,1 cyst destroyed,MSB 280-1,Gambusia affinis ,JAR8833F,Unknown cyst,2,BP,BP,NA,Gill,70% etoh,P6L3V,5,MSB 280-1,CYST.UNK.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-5,Gambusia affinis,1939,5,13,JAR8812F,EO,07-07-2025,07-08-2025,41,33,697,KL,NA,NA,"Fish already cut open. Patterned cysts on caudal fin, 3 on each.",0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 1098-5,Gambusia affinis,JAR8812F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L59,5,MSB 1098-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-2,Gambusia affinis,1939,2,26,JAR8827F,BP,07-08-2025,07-08-2025,28,25,318,EO ,F,Arthropod,Caudal fin damaged,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4176,MSB 4176-2,Gambusia affinis,1978,5,21,JAR8816F,BP,07-08-2025,07-08-2025,39,31,798,EO,F,Arthropod,Cysts on caudal fin,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:280,MSB 280-4,Gambusia affinis,1949,10,28,JAR8828F,JG,07-08-2025,07-08-2025,43,35,824,JG,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4176,MSB 4176-5,Gambusia affinis,1978,5,21,JAR8822F,JG,07-08-2025,07-08-2025,29,23,368,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,MSB 4176-5,Gambusia affinis,JAR8822F,Salsuginus sp.,5,KL,KL,Adult,Gill,70% etoh,P6L5S,5,MSB 4176-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1081,MSB 1081-3,Gambusia affinis,1939,3,17,JAR8834F,BP,07-08-2025,07-08-2025,27,21,176,JG,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,MSB 1081-3,Gambusia affinis,JAR8834F,Salsuginus sp.,2,JG,JG,Adult,Gill,70% etoh,P6L65,5,MSB 1081-3,MONO.SALSP.GILL,,Unknown cyst,2,JG,JG,NA,Gill,70% etoh,P6L66,5,MSB 1081-3,CYST.UNK.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-1,Gambusia affinis,1939,5,13,JAR8814F,EO,07-08-2025,07-08-2025,46,37,1164,KL,F,NA,,0,NA,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,only cysts on right were removed,MSB 1098-1,Gambusia affinis,JAR8814F,Unknown cyst,3,KL,KL,NA,Caudal fin,70% etoh,P6L3I,5,MSB 1098-1,CYST.UNK.CAUDALFIN,,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L3J,5,MSB 1098-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4176,MSB 4176-1,Gambusia affinis,1978,5,21,JAR8821F,BP,07-08-2025,07-08-2025,38,31,741,JG,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4176,MSB 4176-3,Gambusia affinis,1978,5,21,JAR8818F,JG,07-08-2025,07-08-2025,33,26,425,KL,F,Other: Other Fish/Fry,CYST.UNK in caudal fins present,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,MSB 4176-3,Gambusia affinis,JAR8818F,Myxidium sp.,1,KL,KL,NA,Gall Bladder,70% etoh,P6L5T,5,MSB 4176-3,MYXO.MYXID.GALLBLADDER,1 cluster,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L5U,5,MSB 4176-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1081,MSB 1081-5,Gambusia affinis,1939,3,17,JAR8835F,BP,07-08-2025,07-08-2025,28,22,226,EO,F,Arthropod,Cysts on caudal fin,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,MSB 1081-5,Gambusia affinis,JAR8835F,Unknown cyst,1,EO,EO,NA,Gill,70% etoh,P6L4U,5,MSB 1081-5,CYST.UNK.GILL,,Salsuginus sp.,1,EO,EO,Adult,Gill,70% etoh,P6L4V,5,MSB 1081-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4176,MSB 4176-4,Gambusia affinis,1978,5,21,JAR8820F,BP,07-08-2025,07-08-2025,38,30,806,JG,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,MSB 4176-4,Gambusia affinis,JAR8820F,Salsuginus sp.,6,JG,JG,Adult,Gill,70% etoh,P6L64,5,MSB 4176-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-1,Gambusia affinis,1939,2,26,JAR8825F,JG,07-08-2025,07-08-2025,43,33,679,KL,F,NA,Caudal Fin damaged,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,MSB 1100-1,Gambusia affinis,JAR8825F,Salsuginus sp.,3,KL,KL,Adult,Gill,70% etoh,P6L5V,5,MSB 1100-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-4,Gambusia affinis,1939,2,26,JAR8824F,BP,07-08-2025,07-08-2025,28,24,303,KL,F,Arthropod,Caudal fin damaged,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1081,MSB 1081-2,Gambusia affinis,1939,3,17,JAR8836,JG,07-08-2025,07-08-2025,29,24,239,BP,NA,Arthropod,Patterned cysts on caudal fin,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYST.UNK.DORSALFIN destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-5,Gambusia affinis,1939,2,26,JAR8829F,JG,07-08-2025,07-08-2025,26,23,226,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:280,MSB 280-5,Gambusia affinis,1949,10,28,JAR8826F,JG,07-08-2025,07-08-2025,28,23,238,JG,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1081,MSB 1081-4,Gambusia affinis,1939,3,17,JAR8832F,JG,07-08-2025,07-08-2025,27,22,188,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,MSB 1081-4,Gambusia affinis,JAR8832F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L5X,5,MSB 1081-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
